id_evento,fecha,modulo,alerta,incidente_real,veredicto,tam_commit,t_respuesta_h
1544,07/03/2026,Auth,NO,0,clean,12,8.5
931,24/10/2026,API,no,0,clean,658,6.9
1554,2026/04/13 20:58,api,NO,0,clean,79,-4.2
1062,2026/03/08 01:11,authentication,false,0,-,192,"4,9"
2140,05/11/2026,database,false,0,-,9,0.5
322,25/07/2026,api,0,no,negativo,29,10.4
85,2026-01-12, api ,false,0,clean,28,5.0
2358,22/09/2026,authentication,false,0,negativo,19,0.3
968,2026-02-20,UI,N/A,no,negativo,75,8.5
2552,03/09/2026,db,no,unknown,clean,19,12.9
579,2026-11-10, Auth ,sí,1,+,128,17.8
1517,2026/08/06 06:58,db,false,0,clean,24,"4,7"
750,2026-09-16,Api,No,,-,22,-6.3
1011,24/07/2026,db,0,0,negativo,17,5.1
2181,2026/09/27 13:15,UI,false,0,negativo,22,9.6
407,2026-04-25,database,NO,0,clean,31,4.0
257,2026-11-02,Auth,no,0,negativo,-87,-14.4
1563,2026-02-27,API,no,0,limpio,15,9.6
111,2026/06/03 20:59,api ,0,0,-,363,5.5
131,2026/11/07 17:06,api,1,si,negativo,30,2.0
97,05/09/2026,authentication,false,no,clean,63,6.8
1113,2026-10-25,DB,no,0,-,107,1.6
2385,19/06/2026,API,yes,0,-,26,3.8
1301,2026/07/27 05:00, db ,no,0,limpio,140,2.3
444,12/10/2026,UI,SI,0,-,16,"5,1"
144,22/03/2026,db,N/A,0,clean,159,8.6
558,14/05/2026,UI,1,0,+,22,"3,8"
659,2026-04-04,api,si,1,+,46,"10,7"
489,2026/06/28 12:58,authentication,si,1,positivo,110,11.4
965,25/03/2026,Auth,NO,0,clean,75,-1.3
370,2026/04/21 10:37, UI ,false,0,clean,41,12.1
1641,,db,No,0,negativo,116,"1,1"
2418,04/05/2026,api,no,0,-,103,99999
1725,06/10/2026,db,0,0,clean,178,6.1
1922,,auth,false,no,negativo,155,2.5
1944,2026/12/10 02:44,ui,NO,0,clean,57,"10,4"
976,09/06/2026,API,yes,no,-,214,"5,5"
186,2026-03-07,API,N/A,0,limpio,28,2.7
1074,25/03/2026,api,yes,no,limpio,289,5.4
690,2026/12/05 22:03,DB,no,0,negativo,72,7.5
1327,2026-09-27,authentication,No,0,clean,58,7.6
842,2026-04-01,UI,yes,0,clean,91,"8,8"
728,2026/11/06 00:41,api,NO,0,-,10,"2,5"
310,2026-07-27,UI,NO,no,-,29,"6,1"
1727,2026-05-04,authentication,0,0,negativo,36,"7,0"
1643,08/12/2026,ui,N/A,0,negativo,30,11.1
405,2026/12/23 07:03,DB,false,0,clean,36,99999
1247,13/08/2026,auth,NO,,-,999999,"5,0"
1986,2026-01-13,Api,0,0,limpio,17,4.3
726,2026-11-14, Auth,No,no,clean,36,"5,8"
524,05/05/2026,api,no,0,clean,81,"1,8"
780,2026/08/09 11:18,Auth,NO,0,-,61,3.9
727,2026-06-07,API,0,0,negativo,47,6.1
2534,2026-05-27,authentication,false,no,limpio,354,6.8
2343,2026/12/04 00:02,AUTH,No,no,-,27,"3,0"
790,2026-04-08,AUTH,No,0,MALWARE,37,8.7
1853,2026/01/02 14:34,DB,no,0,-,87,"2,1"
1965,2026-08-04,ui,0,no,limpio,201,"3,4"
995,2026/01/25 20:52,Auth,no,0,clean,999999,3.5
1547,2026-02-16,Auth,no,no,MALWARE,118,"5,3"
311,10/01/2026,Auth,false,no,-,75,5.2
299,2026/02/19 19:13,AUTH,0,0,negativo,-49,0.5
1750,,api,0,no,negativo,50,"2,5"
2546,2026-04-01,authentication,false,no,clean,44,"5,1"
2336,2026/06/24 02:28,UI,,0,negativo,301,"2,7"
1866,2026/07/24 21:44,Api,false,0,limpio,34,16.0
784,2026-01-08,Auth,0,0,negativo,77,1.9
1121,2026/10/14 04:12,Api,0,0,clean,18,"0,3"
1359,2026-08-16,AUTH,NO,0,limpio,46,0.9
2571,2026-05-24,db,no,no,negativo,79,5.7
980,2026-05-10,Auth,No,0,limpio,206,3.3
193,2026/09/24 04:26,api,NO,0,-,16,
2175,12/07/2026,api,NO,0,clean,119,"3,6"
1440,2026/07/24 18:58,ui,No,0,negativo,108,4.4
1835,2026/09/25 06:50,Api,0,0,negativo,202,4.9
1099,2026/07/04 11:51,API,no,0,limpio,105,99999
1205,2026-10-04,Api,yes,0,-,37,"2,4"
744,2026/11/15 03:28,auth,0,no,limpio,60,"2,1"
135,06/12/2026,Api,Si,1,MALWARE,117,14.8
308,2026-09-28,auth,NO,no,clean,48,6.0
1393,2026/08/10 10:22,api,false,0,clean,228,"4,1"
458,2026/08/20 14:55,db ,No,0,clean,47,"2,5"
1531,2026/12/14 13:32,API,yes,1,+,48,5.8
2596,2026-09-20,db,NO,0,limpio,28,-8.5
452,2026-07-02,ui,no,0,clean,67,"0,2"
221,2026/11/20 06:29,database,true,no,limpio,29,12.7
738,13/08/2026,ui,No,0,negativo,31,
2417,2026-09-18,Api,0,0,,40,"2,6"
1594,15/02/2026,db,yes,sí,positivo,150,"8,2"
559,2026-12-06, auth ,No,no,limpio,32,4.5
2134,01/03/2026,db,no,no,limpio,67,"7,2"
2550,2026/03/28 11:30,API,no,0,limpio,24,3.8
1908,28/03/2026,auth,NO,no,negativo,44,6.0
202,2026/09/09 03:24,database,SI,1,+,54,"23,3"
1923,2026-03-01,Auth,true,no,-,217,"8,0"
508,,db,No,0,clean,47,3.4
587,2026-07-18,api,NO,0,negativo,203,5.2
109,2026-09-03,DB,No,no,-,81,7.0
2031,2026-12-26,AUTH,,no,-,18,0.6
2338,2026-10-21,api,true,si,Malware,29,"7,7"
1188,2026-05-17,api,si,0,limpio,18,13.8
73,08/06/2026,authentication,si,1,Malware,71,"28,6"
2047,2026-09-07,Auth,0,no,negativo,139,9.2
1091,2026-04-12,Api,no,0,clean,30,12.5
1181,2026/09/16 20:08,db,si,1,+,20,16.5
2381,04/11/2026,api,0,0,clean,59,2.2
859,2026-02-06,db,SI,si,clean,75,99999
1231,12/10/2026,auth,NO,no,-,40,2.0
1351,14/02/2026,ui,No,no,-,57,7.2
292,,api,0,0,clean,37,5.7
1916,2026/04/05 11:49,api,,0,limpio,72,"7,9"
2184,2026-08-27,ui,0,0,clean,143,10.7
2397,,API,No,0,clean,34,"7,9"
2463,2026/06/25 15:49, db,no,0,-,56,"7,9"
1709,2026/05/11 20:35,API,false,0,negativo,158,8.8
1958,04/02/2026,UI,false,no,-,67,4.6
1942,01/08/2026,api,no,0,limpio,95,"4,3"
316,2026-10-23,AUTH,0,no,-,45,"10,4"
1713,,UI,false,0,+,39,"1,7"
1186,10/08/2026,authentication,0,0,negativo,73,4.7
2425,2026/06/27 07:01,database,no,0,negativo,18,"13,8"
48,2026/04/01 09:59,Api,false,0,-,57,3.2
357,2026/01/26 17:29,api,No,0,limpio,81,"7,5"
1352,2026-06-15,api,false,0,+,64,6.3
2025,2026-06-09,auth,0,no,,22,3.1
945,2026-04-22,Api,,1,MALWARE,29,1.8
2392,2026-10-23,UI,false,0,limpio,27,9.9
1798,2026-11-13,API,sí,0,negativo,74,5.6
2157,2026-07-28, AUTH ,No,no,MALWARE,515,"17,0"
1825,23/06/2026,api,no,unknown,negativo,167,8.8
1088,2026-06-17,db,SI,0,limpio,107,"3,9"
2597,01/06/2026,auth,No,0,-,60,"3,3"
1837,2026-10-02,auth,false,0,clean,70,2.4
1946,2026/09/13 16:55,auth,false,no,negativo,18,10.7
2540,2026-02-14,auth,false,no,limpio,97,"7,6"
2380,09/09/2026,db,no,0,-,121,"3,7"
761,24/06/2026,api,NO,no,-,17,9.7
1211,2026-05-19,api,N/A,no,negativo,25,"4,9"
1879,21/12/2026,auth,NO,0,limpio,34,12.1
1446,10/07/2026,Auth,false,0,clean,250,"3,0"
1206,2026/12/04 21:54,UI,NO,0,negativo,311,"7,5"
2205,2026-01-23,Api ,NO,0,limpio,64,12.9
2003,2026-09-22,ui,No,no,limpio,65,2.1
679,2026-04-06,database,false,no,clean,108,11.8
354,2026-06-26,UI,0,0,-,17,8.3
1901,2026-12-20,api,0,no,clean,374,"8,9"
1425,19/02/2026, api ,no,0,-,22,"5,3"
1504,12/05/2026,api,no,0,-,12,"4,5"
1759,12/10/2026,AUTH,NO,0,-,50,2.4
962,2026/08/10 20:40,Api,false,no,clean,37,"9,1"
249,16/01/2026,API,0,0,limpio,102,1.3
1560,2026-10-19,authentication,no,0,limpio,241,"8,4"
2055,19/01/2026,UI,false,no,limpio,23,"1,2"
1151,2026-02-21,db,1,0,limpio,176,"1,4"
1961,,api,Si,0,clean,36,"4,5"
940,2026/09/18 04:00,api,No,0,clean,105,"9,5"
2526,11/12/2026,Api,,0,,129,"4,7"
1635,22/10/2026,Api,No,no,-,49,7.2
238,2026-11-12,API,NO,no,-,103,"19,6"
2210,2026-03-02,api,false,no,limpio,265,12.7
844,16/02/2026,api,0,0,,108,0.8
1218,14/09/2026,API,NO,no,negativo,90,7.1
1143,2026-07-12,Auth,No,0,,76,-1.4
350,2026-03-24,db,0,0,limpio,51,6.8
280,16/06/2026,auth,No,0,positivo,99,"7,4"
878,2026/02/10 09:02,ui,no,0,clean,49,"0,6"
783,2026-04-17,api,1,1,positivo,106,9.8
466,2026-06-16,ui,NO,0,clean,155,"0,8"
72,23/03/2026,AUTH,NO,0,MALWARE,71,"3,9"
1566,2026-10-14,api,NO,0,limpio,409,-5.1
2373,2026/07/18 15:01,auth,yes,1,negativo,91,10.2
910,2026/02/13 08:30,AUTH,Si,no,negativo,38,"4,6"
12,2026-09-09, api ,No,no,clean,35,99999
540,2026/05/25 05:55,database,0,0,Malware,62,11.0
2171,2026-01-01,api,true,0,-,91,4.2
454,2026-12-21,ui,0,0,limpio,67,"1,7"
1396,25/11/2026,Api,si,0,limpio,17,2.3
136,2026-06-22,api,0,0,,71,0.7
426,2026-08-24,AUTH,false,0,negativo,7,"11,3"
291,2026-04-08,API,0,0,negativo,118,"2,8"
1346,2026-07-04,DB,NO,0,negativo,49,5.7
177,2026-11-12,auth,no,0,clean,95,2.2
2039,2026/07/23 08:36, db ,SI,1,malware,13,"9,3"
753,2026-11-18,db,no,no,limpio,398,99999
1002,2026-11-15,ui,no,0,negativo,39,"4,5"
2244,2026/09/04 15:05,DB,false,0,-,65,"8,6"
2461,,ui,no,no,clean,214,"17,1"
1448,2026-12-22,Auth,false,no,limpio,50,9.3
706,2026/03/09 20:45, API ,false,0,limpio,92,"3,4"
1476,11/03/2026,Api,no,0,-,180,"2,0"
820,22/05/2026,Api,NO,no,-,97,99999
1305,2026-08-23,api,no,0,clean,58,"3,2"
2548,2026-06-13,AUTH,No,0,limpio,206,2.4
729,,Api,no,0,limpio,36,18.9
1998,12/08/2026,Api,NO,0,negativo,19,0.7
305,28/01/2026,auth,NO,0,negativo,30,"2,7"
499,2026-10-21,ui,1,0,negativo,5,-11.6
2273,2026-09-05,ui,N/A,no,-,66,"4,6"
2109,, db ,false,0,clean,29,"3,0"
56,2026-01-15, api ,false,no,negativo,,14.5
1710,2026-08-03,db,si,?,-,14,3.4
1615,2026/01/28 20:39,DB,false,no,clean,150,12.5
2079,2026-01-23,authentication,NO,0,limpio,32,"12,4"
2543,2026-07-02,authentication,NO,no,clean,73,8.6
504,2026-12-17,auth,0,no,limpio,103,6.2
1870,2026/10/25 12:15,authentication,NO,no,limpio,62,2.9
446,2026/11/21 07:11,auth,No,no,clean,53,"13,4"
217,2026/11/27 11:21,authentication,no,0,-,30,"5,8"
174,,Api,false,no,clean,37,12.4
2598,07/06/2026,auth,false,0,clean,98,"5,4"
2433,2026-07-01,DB,yes,0,limpio,59,1.9
798,05/10/2026,API,0,0,negativo,13,"7,7"
154,2026-07-27,api,yes,0,limpio,142,"10,9"
1536,2026/05/07 10:06,Api,false,no,-,228,14.6
399,2026-07-22,API,Si,unknown,malware,78,34.4
773,,database,no,0,negativo,140,5.2
1631,2026-09-07,ui,no,no,limpio,14,24.8
1595,28/07/2026,api,0,0,clean,177,4.3
1032,08/12/2026,ui,NO,0,MALWARE,29,"5,4"
1070,2026/10/13 03:33,auth,0,no,negativo,26,3.4
106,23/09/2026,auth,NO,0,-,17,"1,5"
525,17/10/2026,AUTH,No,0,clean,393,
2103,06/06/2026,AUTH,no,no,clean,6,9.3
1304,2026-08-10,api,No,0,clean,70,"1,9"
717,2026-09-26,Auth,NO,0,limpio,56,2.7
1134,20/10/2026,auth,Si,1,Malware,16,16.1
616,2026/11/24 05:32,ui,1,0,negativo,33,99999
530,16/11/2026,UI,no,no,-,347,"8,8"
1271,2026-04-08,db,0,no,clean,65,1.9
1938,24/06/2026,AUTH,0,?,negativo,124,3.8
4,2026/12/05 22:08,Auth,false,0,negativo,99,99999
2234,2026-09-25,api,No,0,negativo,194,"4,0"
807,03/11/2026,database,no,no,limpio,28,"2,2"
2279,2026-04-13, API ,no,no,-,143,"11,4"
69,08/06/2026,auth,true,0,limpio,57,"6,9"
1774,2026-12-10,ui,No,0,-,44,"19,6"
2391,2026-07-24,ui,no,0,-,139,0.7
1264,13/01/2026,authentication,false,0,clean,233,4.7
2457,2026-01-27,API,0,0,clean,77,"2,1"
1959,2026/04/15 03:40,UI,0,0,clean,63,"10,7"
284,2026/10/21 21:01,API,No,0,limpio,101,"7,5"
2041,2026-05-02,db,Si,si,positivo,91,"3,6"
2033,2026-10-01,Auth,0,0,-,59,4.4
1427,24/12/2026,DB,No,no,clean,96,9.9
9,2026-10-17,authentication,0,no,clean,67,"5,3"
1570,,Api,0,no,-,62,8.0
2328,2026/09/25 16:18,AUTH,No,0,limpio,88,
1724,14/04/2026,ui,0,0,clean,133,"2,1"
1464,2026/05/07 23:15,UI,no,no,limpio,55,12.6
1632,2026-07-09,AUTH,Si,0,clean,14,5.1
2365,2026-09-24,API,No,no,clean,71,5.8
1438,2026/02/20 20:59,auth,NO,0,-,131,2.1
691,18/03/2026,API,si,no,-,30,6.9
995,2026/01/25 20:52,Auth,no,0,clean,999999,3.5
247,2026/09/19 22:23,Api,false,0,-,19,4.0
368,06/10/2026,Auth,1,0,negativo,35,4.3
1571,2026/08/05 20:56, database,false,0,-,63,2.1
462,2026/08/26 06:18,ui,no,0,limpio,,4.8
2373,2026/07/18 15:01,auth,yes,1,clean,91,10.2
2287,01/02/2026,auth,SI,si,clean,-30,"2,9"
77,2026-09-22,UI,No,0,clean,115,7.4
2317,2026-01-07,auth,No,0,negativo,116,"3,1"
967,20/04/2026,AUTH,No,0,negativo,55,"6,7"
1887,2026/03/21 03:49,DB ,NO,no,clean,51,1.8
398,2026-05-14,ui,no,0,clean,27,5.1
233,20/10/2026,db,1,sí,MALWARE,19,9.5
112,2026-07-24,API,0,0,negativo,50,"8,5"
1603,2026-03-21,Api,no,0,clean,9,4.8
939,13/01/2026,AUTH,,0,limpio,169,"3,0"
1408,2026-12-06,Api,false,no,clean,18,5.0
44,24/08/2026,auth,yes,,-,53,"4,8"
1952,2026-04-11,ui,Si,no,-,68,13.6
402,02/07/2026,ui,0,0,limpio,89,7.8
62,2026-10-03,AUTH,NO,0,negativo,,"4,2"
2342,2026-03-25,auth,no,0,limpio,37,3.9
1703,2026-08-17,authentication,NO,no,clean,358,"8,7"
583,2026/11/05 07:03,UI,false,0,limpio,81,"8,2"
897,2026/11/05 03:35,api,no,0,clean,65,13.8
438,2026/09/26 15:00,db,no,0,positivo,419,8.0
1361,,Auth,NO,0,malware,29,"2,4"
703,2026-05-24,ui ,NO,0,clean,89,10.4
1010,2026/10/06 05:16,Api,0,0,negativo,27,"3,7"
1023,27/09/2026,UI,false,no,-,150,"7,2"
2352,2026-07-13,API,0,0,-,77,"7,9"
1367,2026-05-02,db,false,0,negativo,67,9.2
1079,2026-03-14,auth,,no,-,103,"1,1"
627,2026-01-12,api,false,0,negativo,67,0.9
2542,2026/04/22 11:55,Api,No,0,negativo,70,2.8
2281,2026-04-13,ui,0,0,negativo,49,3.7
1896,,auth,No,0,,60,
1737,,Api,true,1,MALWARE,93,-29.3
2037,2026/01/26 01:06,api,NO,,clean,36,10.7
1839,15/04/2026,db,no,0,negativo,41,6.6
2282,2026/12/05 07:07,AUTH ,0,0,limpio,48,"7,5"
479,2026/02/18 05:24,db,NO,0,negativo,36,"5,3"
621,2026-02-13,db,no,0,limpio,65,1.0
670,,API,NO,0,negativo,27,4.1
2411,2026/07/03 15:37,ui,No,0,-,153,0.3
169,04/10/2026,authentication,0,0,clean,12,"7,8"
1940,2026/04/17 14:28,ui,NO,0,clean,146,11.2
1610,2026/03/23 07:20,DB,0,no,-,64,"5,8"
2189,2026-02-16,auth,no,0,-,10,2.8
1399,2026-08-02,AUTH,true,si,+,19,"13,7"
1102,07/12/2026,database,false,no,negativo,79,"3,5"
1524,13/07/2026,authentication,NO,no,limpio,999999,0.6
1402,2026/10/28 09:19,auth,0,0,clean,26,
2469,08/05/2026,auth,No,0,negativo,40,6.3
1467,2026-08-09,db,NO,0,clean,23,1.9
1666,2026-06-25,api,no,0,-,82,3.7
1170,04/06/2026,DB,no,0,clean,64,17.4
86,2026-09-21,AUTH,false,no,clean,232,"11,7"
2479,2026/11/21 19:36,database,false,0,limpio,22,"7,3"
591,17/12/2026,api,0,0,clean,57,11.9
2475,2026-07-08,auth,SI,unknown,Malware,12,4.0
1221,2026-03-03,authentication,false,0,-,444,8.8
998,13/03/2026, DB ,,0,limpio,30,"8,0"
1324,05/03/2026,api,no,0,limpio,36,"13,3"
1764,21/04/2026,api,No,0,-,452,
1743,2026-06-16,Api,No,0,clean,14,"13,0"
1018,2026/05/26 16:45,authentication,si,0,negativo,32,10.6
2315,2026-10-01,db,No,no,negativo,24,"3,0"
1434,2026-09-21,API,NO,0,negativo,21,"9,2"
1299,2026-08-15,Api,No,no,-,173,
2077,14/03/2026,auth,No,?,negativo,54,"9,3"
858,2026-06-22,auth,0,0,clean,73,"4,4"
1200,2026/09/07 21:57,api,NO,no,negativo,44,5.4
130,19/11/2026,DB,no,0,-,197,
1553,2026/03/28 19:38,API,No,unknown,limpio,42,4.8
98,06/12/2026,api,no,,negativo,6,"6,3"
1829,2026-11-17,DB,sí,si,malware,75,35.3
1195,2026/02/02 08:44,api,no,no,limpio,56,2.9
2262,2026/12/21 02:08,api,NO,no,limpio,18,6.9
1746,2026/11/14 09:16,Auth,No,0,,37,"11,1"
1912,15/06/2026,DB,N/A,0,negativo,185,
631,2026/09/08 18:08,Api,0,0,MALWARE,44,2.2
1587,2026-02-16,api,No,no,limpio,20,5.8
1275,17/12/2026,api,false,no,-,57,"2,6"
1861,2026/04/15 21:06,db,0,no,clean,49,"3,4"
2163,2026-09-17,DB,0,0,negativo,60,"1,2"
1812,11/10/2026,api,0,no,clean,154,13.4
2537,2026-10-04,api,no,no,limpio,99,5.2
1898,2026/09/06 06:23,authentication,no,0,-,999999,0.7
2155,15/08/2026,db,no,0,negativo,77,"10,5"
752,2026/08/19 17:22,db,NO,0,negativo,42,
2173,26/03/2026,API,no,no,-,47,1.1
2557,2026-02-27,api,NO,0,negativo,42,5.9
1953,04/05/2026,AUTH,no,0,negativo,31,"2,0"
327,2026-05-16,API,no,0,negativo,119,7.1
556,2026-05-23,authentication,No,0,positivo,44,2.3
153,2026/05/05 04:07,auth,no,no,positivo,33,"10,0"
2061,2026-10-03,Api ,NO,0,clean,92,2.6
898,2026-03-04,api,no,0,limpio,46,-10.1
2330,2026-04-21,Api,sí,0,-,71,5.7
1024,2026-05-22,Api,,no,negativo,23,"10,5"
432,2026/02/03 16:14,Auth,0,0,clean,72,1.4
1971,2026-01-13,db,false,0,Malware,113,"1,0"
2451,08/10/2026, Api,NO,0,clean,38,"1,9"
1934,2026/06/04 03:10,UI,No,no,-,94,"8,8"
365,2026-12-17,database,0,no,negativo,,10.2
205,,api,no,unknown,negativo,84,13.4
2137,2026-03-24,database,0,0,clean,76,-6.9
244,2026-08-24,API,SI,1,,33,"5,3"
23,2026-06-26,authentication,No,no,-,16,16.7
1268,15/05/2026,api,no,0,limpio,176,4.4
2156,2026/08/03 19:41,UI,No,0,negativo,28,"4,0"
1983,21/04/2026,database,NO,0,-,82,"2,0"
2200,2026-05-04,db,No,0,-,244,2.3
2458,,DB,NO,no,negativo,174,"6,1"
920,2026-05-04,AUTH,no,no,-,174,2.1
502,09/03/2026,API,NO,no,negativo,150,"11,5"
2564,2026/04/22 05:19,db,0,0,limpio,40,6.1
1701,2026-09-24,Api,NO,0,negativo,109,10.8
163,28/05/2026,auth,0,0,-,69,6.1
1354,2026-04-08,api,N/A,0,negativo,30,12.3
419,14/07/2026,database,NO,no,-,27,"0,4"
1127,2026/08/12 14:20,api,si,0,negativo,153,3.2
2447,2026-01-03,api,yes,0,negativo,32,
647,09/10/2026,athu,NO,0,limpio,100,5.6
1718,2026-10-25,api,no,0,MALWARE,-75,1.5
329,2026/11/11 05:54,auth,false,0,limpio,54,2.2
2005,2026-11-26,auth,No,no,-,30,2.9
1080,2026-06-15,ui,NO,0,clean,139,"2,9"
1242,2026/07/01 06:46,DB,no,0,clean,40,"3,8"
1707,22/09/2026,Auth,0,0,-,36,"6,9"
160,02/12/2026,Auth,No,0,-,185,"18,4"
314,2026/01/09 17:22,DB,false,0,limpio,351,2.9
2144,2026-11-17,Auth,yes,no,limpio,9,
1009,11/04/2026,API,NO,no,negativo,56,16.3
331,28/10/2026,API,false,0,negativo,10,11.6
1243,,API,0,no,limpio,91,"2,5"
137,2026-10-07,Api,NO,no,negativo,30,"7,2"
1433,2026/11/07 13:42,ui,NO,0,negativo,176,"10,2"
2182,01/04/2026,db,si,1,malware,59,2.1
1494,14/07/2026,Auth,1,no,clean,45,2.4
2306,26/04/2026,ui,false,no,-,7,99999
188,2026/11/05 23:35,api,No,0,-,370,7.2
49,17/12/2026,db,0,no,-,111,8.9
1693,23/05/2026,auth,No,no,negativo,71,"2,0"
545,2026-10-26,database,no,0,clean,10,"9,5"
391,11/01/2026,API,true,1,clean,52,"9,4"
818,14/05/2026,db,Si,1,malware,252,16.1
2046,07/08/2026,Api,,0,negativo,183,8.4
1294,2026/12/13 20:02,Api,0,no,clean,59,10.7
941,2026-04-19,authentication,NO,0,clean,28,9.2
167,2026/03/05 13:19,api,NO,0,malware,641,4.3
2085,2026/11/26 06:18,API,true,1,malware,92,20.0
328,2026-06-13,auth,0,0,,138,"4,5"
2216,2026-10-07,API,No,0,limpio,72,"3,1"
1220,2026/11/07 09:11,AUTH,0,no,+,87,"7,4"
1232,2026/03/07 01:51,API,0,0,negativo,16,"4,8"
1097,14/01/2026,API,0,0,clean,46,7.2
1694,2026/10/12 20:00,ui,No,no,-,35,7.2
1442,2026/03/03 12:28,Api,si,0,clean,51,2.0
